Phrase	IPA	SoundsLike	DisplayAs
tanyen			tanyen
dnlur			dnlur
irumenaneo			irumenaneo
njananna			njananna
protestrouttfuutminu			protestrouttfuutminu
humianonm			humianonm
oaoup			oaoup
irmanja			irmanja
muroneri			muroneri
iho			iho
derb			derb
alumirimiri			alumirimiri
anjidani			anjidani
omie			omie
finality			finality
placc			placc
cush			cush
galguwajali			galguwajali
thal			thal
nunuwe			nunuwe
burners			burners
asoi			asoi
djagal			djagal
anggaderi			anggaderi
darag			darag
gyes			gyes
wurumareri			wurumareri
shntenm			shntenm
hag			hag
boats			boats
warbur			warbur
dundudna			dundudna
fturkeyfites			fturkeyfites
moitasok			moitasok
wuleri			wuleri
perenent			perenent
djarna			djarna
fellowathey			fellowathey
presnt			presnt
ober			ober
mumindaninja			mumindaninja
ralin			ralin
sap			sap
djariwanganerinja			djariwanganerinja
dred			dred
bidiji			bidiji
vrurumanjinanga			vrurumanjinanga
puen			puen
araran			araran
hau			hau
examined			examined
rumye			rumye
birende			birende
wwhat			wwhat
gudmaneri			gudmaneri
mnead			mnead
djiri			djiri
gubadjunangagu			gubadjunangagu
buradana			buradana
lefrefinang			lefrefinang
rollow			rollow
innars			innars
herethe			herethe
haed			haed
auotdxa			auotdxa
irumananiga			irumananiga
lcapoc			lcapoc
yamiri			yamiri
injerinari			injerinari
amoume			amoume
mnnlii			mnnlii
twostones			twostones
jcalously			jcalously
lcinds			lcinds
muronilu			muronilu
runguni			runguni
didthese			didthese
nain			nain
bannan			bannan
bangle			bangle
wawa			wawa
eutfueupitue			eutfueupitue
pusher			pusher
xxaxex			xxaxex
anganari			anganari
crudmeri			crudmeri
badidj			badidj
uhovla			uhovla
youp			youp
iroin			iroin
cil			cil
djingari			djingari
confusedd			confusedd
golden			golden
gulrunud			gulrunud
bandjumara			bandjumara
aifng			aifng
birijange			birijange
experiences			experiences
galc			galc
bondjewandes			bondjewandes
anthing			anthing
bunarange			bunarange
njina			njina
lghing			lghing
ltomether			ltomether
arwulijori			arwulijori
raty			raty
ouel			ouel
banjojiri			banjojiri
njinganderart			njinganderart
yuirny			yuirny
dictas			dictas
burumenanga			burumenanga
bananamar			bananamar
guled			guled
dina			dina
umarajali			umarajali
beloning			beloning
hianan			hianan
piorce			piorce
manumela			manumela
bidjina			bidjina
farnodenrth			farnodenrth
negto			negto
djindanarana			djindanarana
hilili			hilili
femne			femne
arimindaninja			arimindaninja
meany			meany
high			high
